F72,F25,F65,F68,F101,F104,F105,F15-NA,F15-private,F15-protected,F15-public,F22,F123,F77,F41,F126,F71-stephen.alan.connolly@gmail.com,F71-ogusakov@apache.org,F71-brett@apache.org,F71-hboutemy@apache.org,F71-kenney@apache.org,F71-sisbell@apache.org,F71-aheritier@apache.org,F71-mkleint@apache.org,F71-carlos@apache.org,F71-olamy@apache.org,F71-jvanzyl@apache.org,F71-brianf@apache.org,F71-ifedorenko@apache.org,F71-igor@ifedorenko.com,F71-bentmann@apache.org,F71-krosenvold@apache.org,F71-jason@tesla.io,F71-jdcasey@apache.org,label
0.231009926629262,0.49723112795103475,0.0893854748603352,0.34146341463414637,0.5387445397136112,0.003992529132799419,0.05699326851159311,0.0,0.0,0.0,0.0,0.5,0.24878501896617916,0.9587778353184878,0.007462686567164179,0.35745328118209474,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1
0.231009926629262,0.49723112795103475,0.0893854748603352,0.34146341463414637,0.5614103504167748,0.003992529132799419,0.48429319371727747,0.0,0.0,0.0,0.0,0.5,0.4151550012890645,0.1352667011910927,0.007462686567164179,0.35745328118209474,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
0.231009926629262,0.49723112795103475,0.0893854748603352,0.34146341463414637,0.5336562964945337,0.003992529132799419,0.1896035901271503,0.0,0.0,0.0,0.0,1.0,0.4151550012890645,0.09114448472294148,0.007462686567164179,0.35745328118209474,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
0.9994605092792402,1.0,0.01675977653631285,0.34146341463414637,0.5166116872922878,0.1198536929568135,0.9999999999999999,0.0,0.0,0.0,0.0,0.5,0.29273531779459944,0.2126359399274987,0.007462686567164179,0.018687527162103434,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.9994605092792402,1.0,0.01675977653631285,0.34146341463414637,0.501762598056113,0.1198536929568135,0.9999999999999999,0.0,0.0,0.0,0.0,0.5,0.29273531779459944,0.23966856551009838,0.007462686567164179,0.018687527162103434,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.40138109624514456,0.6627805304575926,0.011173184357541898,0.34146341463414637,0.8762296302483775,0.4823380326310788,0.6561954624781848,0.0,0.0,0.0,0.0,1.0,1.0,0.3846711548420507,0.007462686567164179,0.000651890482398957,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.43213206732844195,0.7126202273389682,0.1340782122905028,0.13414634146341464,0.7928288919456872,0.03162378055455832,0.6905759162303664,0.0,0.0,0.0,0.0,1.0,0.4151550012890645,0.3171413775245986,0.08955223880597014,0.00217296827466319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
0.43213206732844195,0.7126202273389682,0.1340782122905028,0.13414634146341464,0.3180202092962905,0.03162378055455832,0.5579655946148092,0.0,0.0,0.0,0.0,0.5,0.4151550012890645,0.7308130502330398,0.08955223880597014,0.00217296827466319,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.43213206732844195,0.7126202273389682,0.1340782122905028,0.13414634146341464,0.7844989150571013,0.03162378055455832,0.48429319371727747,0.0,0.0,0.0,0.0,0.5,0.4151550012890645,0.7308130502330398,0.08955223880597014,0.00217296827466319,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.43213206732844195,0.7126202273389682,0.1340782122905028,0.13414634146341464,0.8539153891286504,0.03162378055455832,0.48429319371727747,0.0,0.0,0.0,0.0,1.0,1.0,0.2286897980321077,0.08955223880597014,0.00217296827466319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.7810746655157531,0.8971145438647625,0.027932960893854747,0.13414634146341464,0.5934916493053868,0.23734093669148318,0.3553664921465968,0.0,0.0,0.0,0.0,1.0,0.7284425355329727,0.7491455204557224,0.08955223880597014,0.000217296827466319,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.5656020716443677,0.8434858641795395,0.061452513966480445,0.13414634146341464,0.4211532564883064,0.066109270725005,0.48429319371727747,0.0,0.0,0.0,0.0,1.0,1.0,0.3992749870533402,0.08955223880597014,0.025641025641025644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.9999999999999999,1.0,0.011173184357541898,0.04878048780487805,0.8995852126670668,0.21320151694449363,0.5311756306520703,0.0,0.0,0.0,0.0,1.0,1.0,0.6558259968928016,0.0,0.0343328987396784,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.8309236081139404,0.9090644127076655,0.07262569832402235,0.03658536585365854,0.5784459544100907,0.08022942691161464,0.9999999999999999,0.0,0.0,0.0,0.0,0.5,0.2261524929352281,0.7969963749352666,0.0,0.024989135158626684,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.231009926629262,0.49723112795103475,0.011173184357541898,0.03658536585365854,0.9394455889846774,0.26184064628544274,0.7053103964098728,0.0,0.0,0.0,0.0,1.0,1.0,0.6558259968928016,0.0,0.02824858757062147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.9999999999999999,1.0,0.0223463687150838,0.02439024390243903,0.24100606399669042,0.04558359429260744,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.4151550012890645,0.9592957017089591,0.0,0.6497175141242938,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
