F72,F25,F65,F68,F101,F104,F105,F15-private,F15-protected,F15-public,F22,F123,F77,F41,F126,F71-kevj@apache.org,F71-jskeet@apache.org,F71-donaldp@apache.org,F71-antoine@apache.org,F71-jkf@apache.org,F71-stevel@apache.org,F71-jglick@apache.org,F71-bodewig@apache.org,F71-stefano@apache.org,F71-umagesh@apache.org,F71-sbailliez@apache.org,F71-ehatcher@apache.org,F71-costin@apache.org,F71-rubys@apache.org,F71-peterreilly@apache.org,F71-hibou@apache.org,F71-conor@apache.org,F71-mbenson@apache.org,F71-jhm@apache.org,label
0.7948140672308052,0.8563701923076923,0.48,0.37279596977329976,0.06035812528494833,0.23349124486882097,1.0,0.0,0.0,0.0,1.0,0.6240448218088772,0.6900394706292082,0.2581818181818182,0.2732358003442341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1
0.7948140672308052,0.8563701923076923,0.48,0.37279596977329976,0.17077236063443801,0.23349124486882097,0.829675572519084,0.0,0.0,0.0,0.5,0.49916399463406275,0.09310424889714418,0.2581818181818182,0.2732358003442341,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.7948140672308052,0.8563701923076923,0.48,0.37279596977329976,0.08105368742048605,0.23349124486882097,0.6228530534351144,0.0,0.0,0.0,1.0,0.6240448218088772,0.9813481928643294,0.2581818181818182,0.2732358003442341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0
0.7948140672308052,0.8563701923076923,0.48,0.37279596977329976,0.017716170335351382,0.23349124486882097,0.7107188295165394,0.0,0.0,1.0,1.0,0.6240448218088772,0.9813481928643294,0.2581818181818182,0.2732358003442341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0
0.7948140672308052,0.8563701923076923,0.48,0.37279596977329976,0.12972237200295933,0.23349124486882097,0.21031401804302569,0.0,0.0,0.0,1.0,0.6179016875583138,0.9813481928643294,0.2581818181818182,0.2732358003442341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0
0.7948140672308052,0.8563701923076923,0.48,0.37279596977329976,0.059562142125889186,0.23349124486882097,0.21388725778038756,0.0,0.0,0.0,1.0,0.6179016875583138,0.7699094497329928,0.2581818181818182,0.2732358003442341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.7948140672308052,0.8563701923076923,0.48,0.37279596977329976,0.06035812528494833,0.23349124486882097,1.0,0.0,0.0,0.0,1.0,0.6179016875583138,0.6900394706292082,0.2581818181818182,0.2732358003442341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1
0.4463939135160314,0.7019230769230769,0.08,0.37279596977329976,0.14783530516018847,0.04333369901855712,1.0,0.0,0.0,0.0,0.0,0.0055022641851384824,0.09217552820989088,0.2581818181818182,0.03259466437177281,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.4463939135160314,0.7019230769230769,0.08,0.37279596977329976,0.04168675368104942,0.04333369901855712,0.829675572519084,0.0,0.0,0.0,0.5,1.0,0.6244098753966412,0.2581818181818182,0.03259466437177281,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.4463939135160314,0.7019230769230769,0.08,0.37279596977329976,0.06403381715034184,0.04333369901855712,0.08024809160305345,0.0,0.0,0.0,1.0,0.6179016875583138,0.09279467533472642,0.2581818181818182,0.03259466437177281,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.4463939135160314,0.7019230769230769,0.176,0.37279596977329976,0.1321525238273034,0.18445858965764758,0.6593511450381679,0.0,0.0,0.0,1.0,0.6240448218088772,0.523101927095426,0.2581818181818182,0.020761617900172117,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
