F72,F25,F65,F68,F101,F104,F105,F15-NA,F15-private,F15-protected,F15-public,F22,F123,F77,F41,F126,F71-xedin@apache.org,F71-jmckenzie@apache.org,F71-sylvain@datastax.com,F71-yukim@apache.org,F71-brandonwilliams@apache.org,F71-dbrosius@mebigfatguy.com,F71-johan@apache.org,F71-benedict@apache.org,F71-jakers@gmail.com,F71-marcuse@apache.org,F71-jbellis@apache.org,F71-gdusbabek@apache.org,F71-vijay2win@gmail.com,F71-dbrosius@apache.org,F71-aleksey@apache.org,F71-jake@apache.org,F71-eevans@apache.org,F71-tyler@datastax.com,F71-slebresne@apache.org,label
0.7432584756784878,0.7003891050583657,0.01568627450980392,0.04061895551257253,0.11650404675907672,0.07952563655388908,1.0,0.0,0.0,0.0,0.0,0.5,0.45005386290935234,0.7339815940267407,0.18296204620462048,0.0008958412293698101,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.7432584756784878,0.7003891050583657,0.01568627450980392,0.04061895551257253,0.21805787309545388,0.07952563655388908,0.595121662423776,0.0,0.0,0.0,0.0,0.5,0.7361524318970307,0.7429241187706199,0.18296204620462048,0.0008958412293698101,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
0.7503685077603399,0.7042801556420233,0.011764705882352941,0.04061895551257253,0.08461785083016678,0.06438152011922504,1.0,0.0,0.0,0.0,0.0,0.5,0.45005386290935234,0.8504080569543323,0.18296204620462048,0.0011542569686111015,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.7503685077603399,0.7042801556420233,0.011764705882352941,0.04061895551257253,0.15595394497810022,0.06438152011922504,1.0,0.0,0.0,0.0,0.0,1.0,0.28537115958306414,0.46405625976732073,0.18296204620462048,0.0011542569686111015,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.3720627763808202,0.36662343277129267,0.03137254901960784,0.04061895551257253,0.14410840746528125,0.03202439954250858,0.1258308620513345,0.0,0.0,0.0,0.0,0.0,0.0005055409771811203,0.37124500781385655,0.18296204620462048,0.0024118802329187194,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.3720627763808202,0.36662343277129267,0.03137254901960784,0.04061895551257253,0.04865407605130307,0.03202439954250858,1.0,0.0,1.0,0.0,0.0,0.5,0.7361524318970307,0.37124500781385655,0.18296204620462048,0.0024118802329187194,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.3720627763808202,0.36662343277129267,0.03137254901960784,0.04061895551257253,0.2027446396195821,0.03202439954250858,1.0,0.0,0.0,0.0,0.0,0.5,0.7361524318970307,0.37124500781385655,0.18296204620462048,0.0024118802329187194,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15338593600971123,0.16083009079118027,0.00784313725490196,0.04061895551257253,0.14415169741150072,0.10787942887361185,1.0,0.0,0.0,0.0,0.0,0.0,0.3271176604973085,0.15228338253168952,0.18296204620462048,0.0006718809220273576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.2090522847481141,0.20925205361003024,0.09411764705882353,0.04061895551257253,0.03459816351342057,0.02185792349726776,0.49390207802972,0.0,0.0,0.0,0.0,0.0,0.3271176604973085,0.06832783469352317,0.18296204620462048,0.010560589876994108,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.2090522847481141,0.20925205361003024,0.09411764705882353,0.04061895551257253,0.22636806842932256,0.02185792349726776,0.797560831211888,0.0,0.0,0.0,0.0,0.5,0.28537115958306414,0.5075533946865776,0.18296204620462048,0.010560589876994108,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0
0.32576086014046646,0.32166018158236054,0.14509803921568626,0.04061895551257253,0.12514347037960166,0.020602569782897654,1.0,0.0,0.0,0.0,0.0,0.5,0.28537115958306414,0.8749782948428546,0.18296204620462048,0.008355442235468422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0
0.9036677360617358,0.8607868568958063,0.0392156862745098,0.06479690522243714,0.25390745287653627,0.06967213114754099,1.0,0.0,0.0,0.0,0.0,1.0,0.7361524318970307,0.903542281646119,0.017533003300330034,0.0005340591944320022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.9036677360617358,0.8607868568958063,0.0392156862745098,0.06479690522243714,0.19180015412536344,0.06967213114754099,1.0,0.0,0.0,0.0,0.0,1.0,0.28537115958306414,0.4033686403889564,0.017533003300330034,0.0005340591944320022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.07387496748460937,0.07306528318201469,0.050980392156862744,0.06479690522243714,0.16630558419409108,0.06135367635124169,1.0,0.0,0.0,0.0,0.0,1.0,0.28537115958306414,0.3784511199861087,0.017533003300330034,0.0031354443027943354,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.06598456602791986,0.06355382619974059,0.07450980392156863,0.06479690522243714,1.0,0.08357441337190614,0.7469510390148599,0.0,0.0,0.0,0.0,1.0,0.7361524318970307,0.4033686403889564,0.017533003300330034,0.004117424111911243,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
