F72,F25,F65,F68,F101,F104,F105,F15-NA,F15-private,F15-protected,F15-public,F22,F123,F77,F41,F126,F71-mturk@apache.org,F71-jboynes@apache.org,F71-fschumacher@apache.org,F71-remm@apache.org,F71-fhanik@apache.org,F71-kfujino@apache.org,F71-funkman@apache.org,F71-costin@apache.org,F71-kkolinko@apache.org,F71-jhook@apache.org,F71-markt@apache.org,F71-timw@apache.org,F71-billbarker@apache.org,F71-jfclere@apache.org,F71-rjung@apache.org,F71-pero@apache.org,F71-schultz@apache.org,F71-violetagg@apache.org,F71-markt@apache.org =  markt = Mark Emlyn David Thomas markt@apache.org@apache.org,F71-slaurent@apache.org,label
0.0,0.0,0.0,0.08552631578947367,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.9999999999999999,0.9999999999999999,0.11147540983606558,0.19078947368421054,0.014787446904205878,0.29119653634216736,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.001117006422786931,0.0439200826730968,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.9999999999999999,0.9999999999999999,0.07540983606557378,0.19078947368421054,0.04792024260929154,0.3260194174757281,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.001117006422786931,0.01722356183258698,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.9999999999999999,0.9999999999999999,0.07540983606557378,0.19078947368421054,0.04945946233590082,0.3260194174757281,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.001117006422786931,0.01722356183258698,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.9999999999999999,0.9999999999999999,0.06557377049180328,0.1644736842105263,0.009903078503884666,0.3363647535946909,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9892061757070638,0.0,0.013434378229417844,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.9999999999999999,0.9999999999999999,0.04590163934426229,0.1644736842105263,0.007694086046031525,0.4745145631067961,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.013606613847743714,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.3818045215490745,0.2613187481008812,0.013114754098360656,0.28947368421052627,0.05214828995825507,0.19848975188781012,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.38167782483945895,0.0016755096341803965,0.005856011023079573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.9999999999999999,0.9999999999999999,0.04262295081967213,0.13157894736842105,0.009552079088802479,0.12798958086668244,0.6619047619047619,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.04323114019979332,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.9999999999999999,0.9999999999999999,0.04262295081967213,0.13157894736842105,0.026755718373718713,0.12798958086668244,0.6619047619047619,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.04323114019979332,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.9999999999999999,0.9999999999999999,0.04262295081967213,0.13157894736842105,0.00676508952464605,0.12798958086668244,0.830952380952381,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.04323114019979332,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
