F72,F25,F65,F68,F101,F104,F105,F15-NA,F15-private,F15-protected,F15-public,F22,F123,F77,F41,F126,F71-dev-null@apache.org,F71-mblankestijn@apache.org,F71-fschumacher@apache.org,F71-jsalvata@apache.org,F71-dims@apache.org,F71-jeremy_a@apache.org,F71-seade@apache.org,F71-oros@apache.org,F71-woolfel@apache.org,F71-pmouawad@apache.org,F71-alf@apache.org,F71-fschumacher@unknown,F71-milamber@apache.org,F71-thads@apache.org,F71-rjung@apache.org,F71-sebb@apache.org,F71-mstover1@apache.org,F71-undera@apache.org,F71-pmouawad@unknown,label
0.8254535459043431,0.7983425414364641,0.21951219512195125,0.06185567010309278,0.013274232502630967,0.10339155033515773,0.6494252873563218,0.0,0.0,0.0,0.0,0.5,0.2601859622208124,0.8029006395820196,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.8254535459043431,0.7983425414364641,0.21951219512195125,0.06185567010309278,0.040928364515769554,0.10339155033515773,0.32389162561576357,0.0,0.0,0.0,0.0,0.5,0.2601859622208124,0.8029006395820196,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.8254535459043431,0.7983425414364641,0.21951219512195125,0.06185567010309278,0.04023701121544109,0.10339155033515773,0.09852216748768472,0.0,0.0,0.0,0.0,0.5,0.2601859622208124,0.8029006395820196,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.5284038849184534,0.5535486612834679,0.06504065040650407,0.0,0.14054469338976436,0.06964964119881806,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.5108548779389245,0.0,0.04324765401876785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.1788617886178862,0.1134020618556701,0.04389562109442069,0.022874507446737462,1.0,0.0,0.0,0.0,0.0,0.5,0.2206322279079966,0.36221961985406714,0.014705882352941176,0.5862913096695227,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
1.0,1.0,0.1788617886178862,0.1134020618556701,0.13101527551391506,0.022874507446737462,0.38347205707491083,0.0,0.0,0.0,0.0,0.5,0.2601859622208124,0.7820016214755428,0.014705882352941176,0.5862913096695227,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
1.0,1.0,0.1788617886178862,0.1134020618556701,0.09985272416635098,0.022874507446737462,1.0,0.0,0.0,0.0,0.0,0.5,0.9999999999999999,0.9745068011890821,0.014705882352941176,0.5862913096695227,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
1.0,1.0,0.1788617886178862,0.1134020618556701,0.030888643140654815,0.022874507446737462,1.0,0.0,0.0,0.0,1.0,1.0,0.3866820706396441,0.9745068011890821,0.014705882352941176,0.5862913096695227,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
1.0,1.0,0.1788617886178862,0.1134020618556701,0.12573119072019767,0.022874507446737462,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.045851725069813526,0.014705882352941176,0.5862913096695227,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
1.0,1.0,0.1788617886178862,0.1134020618556701,0.12342787170755161,0.022874507446737462,1.0,0.0,0.0,0.0,1.0,1.0,0.3866820706396441,0.9745068011890821,0.014705882352941176,0.5862913096695227,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
0.5278541323071284,0.5533361665958351,0.008130081300813009,0.2371134020618557,0.06857845352715185,0.1251109139307897,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.5103143860913432,0.014705882352941176,0.016727866177070585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.9154297232911857,0.8980025499362516,0.04878048780487805,0.2371134020618557,0.128648796050679,0.11575381140598531,0.6494252873563218,0.0,0.0,0.0,0.0,1.0,0.2206322279079966,0.8029006395820196,0.014705882352941176,0.0485516115871073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
